1 0.99571 -0.997234 1.2495 9.96173
1.03 0.993918 -0.996535 1.52437 17.5622
1.06 0.992776 -0.996059 2.10613 24.5431
1.09 0.995206 -0.99571 1.11344 6.68178
1.12 0.99834 -0.996766 0.223614 0.061049
1.15 0.840984 -0.972068 16.7077 851.202
1.18 0.475197 -0.925859 27.516 1723.25
1.21 0.775669 -0.957057 22.4043 831.613
1.24 0.993524 -0.992122 0.874812 5.13909
1.27 0.98219 -0.987937 2.62436 37.9266
1.3 0.994571 -0.989887 0.527146 0.171337
1.33 0.982295 -0.984984 2.52234 32.4979
1.36 0.988304 -0.984989 1.51301 8.13785
1.39 0.779365 -0.948825 18.2429 699.991
1.42 0.974476 -0.978322 3.23704 46.6109
1.45 0.895841 -0.961451 10.6315 265.007
1.48 0.983057 -0.976431 1.75886 8.45615
1.51 0.973483 -0.970385 2.70724 22.356
1.54 0.981311 -0.971057 1.45388 3.68346
1.57 0.974259 -0.965501 2.49774 12.0062
1.6 0.979356 -0.964054 1.37534 0.832835
1.63 0.937959 -0.950812 5.11031 112.312
1.66 0.972562 -0.955052 1.83419 1.73026
1.69 0.9679 -0.94971 2.16913 3.76964
1.72 0.963932 -0.944082 2.48172 5.82585
1.75 0.95693 -0.936231 2.62501 6.89197
1.78 0.939587 -0.92946 5.09887 42.5931
1.81 0.924218 -0.91873 5.25163 49.5001
1.84 0.870948 -0.903918 8.56273 150.067
1.87 0.941587 -0.911937 3.1663 5.05403
1.9 0.931125 -0.898658 3.47164 3.25424
1.93 0.89419 -0.889084 6.29607 57.077
1.96 0.911333 -0.882476 4.13878 13.575
1.99 0.897098 -0.868531 5.20693 19.8364
2.02 0.904467 -0.867297 4.05912 7.14397
2.05 0.885084 -0.850476 4.90425 10.2026
2.08 0.849828 -0.826077 6.64983 24.8572
2.11 0.741206 -0.798045 10.1884 146.682
2.14 0.829977 -0.80937 7.22163 39.5301
2.17 0.812163 -0.789048 6.94667 26.8466
2.2 0.756639 -0.766422 8.89673 67.3005
2.23 0.732662 -0.746059 7.22093 35.9512
2.26 0.463388 -0.724395 7.49488 538.46
2.29 0.685519 -0.707683 8.47589 40.2535
2.32 0.179515 -0.659415 8.68606 527.254
2.35 0.203964 -0.64371 9.67837 387.992
2.38 0.0244898 -0.613746 6.2795 311.173
2.41 0.0636961 -0.602857 6.38068 315.41
2.44 0.104902 -0.580195 5.04701 176.593
2.47 0.184209 -0.573705 6.3501 218.738
2.5 0.02678 -0.556735 4.95124 183.01
2.53 0.0824943 -0.547066 4.48352 174.282
2.56 0.175474 -0.528916 3.97397 80.2462
2.59 0.0155238 -0.511329 4.02926 103.849
2.62 0.0475556 -0.505642 3.66823 85.8797
2.65 0.00803628 -0.494726 2.98058 80.8399
2.68 0.00119274 -0.487256 3.42006 76.0572
2.71 0.00907483 -0.478599 3.18416 52.5558
2.74 0.00838549 -0.468825 2.90942 54.5209
2.77 0.0347755 -0.457769 2.69257 48.3017
2.8 0.00895692 -0.451882 2.77047 45.8496
2.83 0.0101179 -0.443315 2.70204 37.2249
2.86 0.0125488 -0.440054 2.3572 46.1253
2.89 0.00371429 -0.435252 2.355 38.4919
2.92 0.0129025 -0.424281 2.25257 29.0268
2.95 0.0151791 -0.41849 2.33722 29.2169
2.98 0.0166848 -0.41307 1.96159 30.1992
3.01 0.0375011 -0.405456 2.12481 23.6722
3.04 0.0235782 -0.402113 2.06306 22.4263
3.07 0.00548299 -0.393878 1.88658 23.0142
3.1 0.0125079 -0.389029 1.81438 21.4199
3.13 0.0129751 -0.379932 1.89338 21.7996
3.16 0.0235873 -0.378984 1.74632 18.7865
3.19 0.0219909 -0.373211 1.65464 16.1954
3.22 0.0026576 -0.369664 1.62951 16.8647
3.25 0.00161905 -0.361714 1.55009 13.8126
3.28 0.00566893 -0.361692 1.55996 15.9262
3.31 0.00203175 -0.353796 1.59198 12.3213
3.34 0.0195011 -0.352363 1.61538 14.0144
3.37 0.00887528 -0.34985 1.66229 14.9008
3.4 0.0100408 -0.346122 1.49928 16.4428
3.43 0.0053424 -0.340322 1.57318 12.4881
3.46 0.0111837 -0.333079 1.26249 11.6528
3.49 0.00526531 -0.331234 1.30418 10.5448
3.52 0.00995011 -0.325433 1.11499 9.45485
3.55 0.00779592 -0.323093 1.24494 9.96678
3.58 0.00787302 -0.319451 1.2154 8.55199
3.61 0.0218095 -0.316821 1.17816 9.26272
3.64 0.00214512 -0.314195 1.18495 7.78343
3.67 0.00217687 -0.310494 1.28625 8.13316
3.7 0.000571429 -0.307932 1.13409 7.84014
3.73 0.00999546 -0.302317 1.07281 7.46366
3.76 0.00338322 -0.300961 1.07527 7.74736
3.79 0.00678005 -0.298803 1.07632 6.78423
3.82 0.00943311 -0.294227 0.95341 6.82312
3.85 0.000902494 -0.293791 1.09142 7.17229
3.88 0.00759637 -0.289002 0.956865 6.35952
3.91 0.00471655 -0.287351 0.937295 6.22984
3.94 0.0106621 -0.283347 0.938191 5.98215
3.97 0.00306576 -0.280549 0.901866 5.89876
